jargon_term,plain_english_equivalent,definition,source
additional card,extra card on the same account,An extra card linked to the main account that someone else can use.,financial_institution
additional cardholders,people who get an extra card,People who are given extra cards linked to the main account.,financial_institution
APR,yearly borrowing cost,"The total yearly cost of borrowing, shown as a percentage and including interest and some charges.",financial_institution
bond,loan to a company or government,A type of investment where you lend money to a company or government and receive interest.,regulatory_guidance
borrower,person who borrows money,A person or business that takes money from a lender and must pay it back.,regulatory_guidance
client assets,customer money and investments,Money or investments that a firm holds on behalf of its customers.,regulatory_guidance
compound interest,interest on interest,Interest calculated on both the original amount and the interest already added.,financial_institution
consumer lending,lending to individuals,The business of giving loans or credit to individual consumers rather than businesses.,regulatory_guidance
consumer outcomes,results for customers,"The effect a financial product or service has on customers, including whether it meets their needs fairly.",regulatory_guidance
continuous payment authority,permission for repeated card payments,Permission given to a company to take repeated payments from your debit or credit card.,financial_institution
coupon rate,fixed interest paid by a bond,The annual interest rate that a bond pays to its holder.,regulatory_guidance
court claim,legal case to recover money,A formal legal action started in court to recover money owed.,financial_institution
credit limit,maximum amount you can borrow,The highest amount you are allowed to borrow on a credit card or credit account.,financial_institution
credit quality,how reliable a borrower is,A measure of how likely a borrower is to repay money on time.,regulatory_guidance
credit reference agencies,companies that hold credit records,Companies that collect and share information about people’s borrowing and repayment history.,financial_institution
credit reporting companies,companies that provide credit history data,Companies that gather and provide information about a person’s credit history.,regulatory_guidance
credit risk,risk that a borrower will not repay,The chance that a borrower will fail to repay the money they owe.,regulatory_guidance
credit score,number showing creditworthiness,A number based on your credit history that indicates how risky it may be to lend to you.,regulatory_guidance
credit scoring,method for assessing credit risk,The process of using information about a borrower to estimate how likely they are to repay.,financial_institution
debt advice bodies,organisations that help with debt,Organisations that give guidance and support to people who are struggling with debt.,regulatory_guidance
debt collection,process of recovering unpaid debt,The activity of asking for and recovering money that has not been paid back.,regulatory_guidance
debt management firms,companies that help manage debt repayments,"Companies that help people organise and repay debts, often through payment plans.",regulatory_guidance
default fees,charges for missing payments,Fees charged when a borrower misses a payment or breaks the terms of an agreement.,financial_institution
due date,date payment must be made,The date by which a payment must be made.,financial_institution
fraud prevention agencies,organisations that check for fraud,Organisations that share information to help detect and prevent fraud.,financial_institution
instalment plan,payment plan in parts,An arrangement that lets you pay a total amount in smaller scheduled payments.,financial_institution
interest rate,percentage charged or paid on money,The percentage used to calculate interest charged on borrowing or paid on savings.,regulatory_guidance
lender,person or company providing the money,"A person, bank, or company that gives money to a borrower and expects repayment.",regulatory_guidance
market interest rates,interest rates in the wider market,The rates of interest generally available in financial markets at a given time.,regulatory_guidance
market participants,people and firms active in the market,"People, firms, and institutions that buy, sell, lend, borrow, or invest in financial markets.",regulatory_guidance
maturity,date a loan or bond ends,"The date when a loan, bond, or investment is due to be fully repaid.",regulatory_guidance
monthly instalment,monthly payment,One of the regular payments made each month under a payment plan or loan agreement.,financial_institution
outstanding balance,amount still owed,The amount of money that remains unpaid on an account or loan.,regulatory_guidance
proceeds,money received from a sale or deal,"The money obtained from a sale, investment, or other financial transaction.",regulatory_guidance
recurring transaction,repeated payment,A payment that happens automatically on a regular basis.,financial_institution
regulatory requirements,official rules that must be followed,Rules and standards set by regulators that firms are required to follow.,financial_institution
secured loan,loan backed by an asset,"A loan that is backed by something valuable, such as a house or car, which can be taken if you do not repay.",regulatory_guidance
Thematic Reviews,regulator reviews of a specific issue,"Reviews carried out by regulators to examine a particular issue, practice, or risk across firms.",regulatory_guidance
transaction balance,amount from a specific card transaction,The amount linked to a particular transaction or group of transactions on an account.,financial_institution
unsecured loan,loan not backed by an asset,A loan that is not secured against property or another asset.,regulatory_guidance
