candidate_id,source_file,text,sentence_count,word_count,fkgl,contains_number,contains_currency,contains_percentage,contains_date_or_time,contains_financial_term,contains_forecast_or_guidance,contains_profit_or_margin_term,contains_cost_or_expense_term,contains_cash_or_balance_sheet_term,text_simplified_reference,annotator_id,confidence,notes,jargon_terms
1,hsbc_summary_box.txt,Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount with a minimum charge of £3 and the terms for balance transfers are provided separately in the offer sent to you.,3,30,7.9,True,True,True,False,True,False,False,True,True,,,,,
2,cfpb_consumer_advisory.txt,"You can contact the credit reporting companies directly to dispute errors or file a complaint with the Bureau, and if you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.",2,45,20.4,False,False,False,False,True,False,False,False,False,,,,,
3,hsbc_personal_loan_tandc.txt,"After you have made your first repayment, you can ask us to change your monthly repayment date; although we cannot change your next payment date, we can change all later payment dates, and in some cases we may require you to repay the loan immediately.",2,50,18.7,False,False,False,True,True,False,False,True,False,,,,,
4,fca_consumer_credit_guide.txt,"Threshold Conditions (COND): This sets out minimum conditions which all firms must meet if they wish to be authorised. Once authorised, firms must continue to meet these standards on an ongoing basis.",2,47,8.7,False,False,False,False,False,False,False,False,False,,,,,
5,fca_consumer_credit_guide.txt,"General Provisions (GEN): This sets out some of the standards that apply to all firms in terms of their interaction with us, including statutory disclosure statements and use of the FCA name or logo.",2,46,16.1,False,False,False,False,False,False,False,False,False,,,,,
6,nationwide_mortgage_conditions.txt,"If we appoint a receiver, youll also appoint them as your attorney. This will be a separate appointment and the receiver will be allowed to do all the things that we can do under our power of attorney.",2,31,9.5,False,False,False,False,False,False,False,False,False,,,,,
7,cfpb_consumer_advisory.txt,Consider products that help you rebuild your credit. Products like secured credit cards andcredit builder loans are specifically designed to help you build a positive credit history.,3,41,11.5,False,False,False,False,True,False,False,False,False,,,,,
8,fca_consumer_lending_strategy.txt,This letter sets out our updated view on the key risks of harm we believe Consumer Lending firms may pose to their consumers and the markets in which they operate. This will shape our focus and engagement with the Consumer Lending market over the next two years.,2,47,10.6,False,False,False,True,True,False,False,False,False,,,,,
9,sec_interest_rate_risk.txt,"A fundamental principle of bond investing is that market interest rates and bond prices generally move in opposite directions: when market interest rates rise, the prices of fixed-rate bonds fall, a phenomenon known as interest rate risk.",2,48,20.2,False,False,False,False,True,False,False,False,False,,,,,
10,nationwide_current_account_tandc.txt,"These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.",2,38,9.5,False,False,False,False,True,False,False,False,False,,,,,
11,fca_consumer_lending_strategy.txt,"Our Priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow, have access to credit that meets their needs. Firms offering credit must do so responsibly.",2,36,10.8,False,False,False,False,True,False,False,False,False,,,,,
12,nationwide_current_account_tandc.txt,"When we share your information with credit reference agencies theyll use this to check your credit rating, along with the other details youve given us. These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.",2,49,10.6,False,False,False,False,True,False,False,False,False,,,,,
13,fca_consumer_credit_guide.txt,"Credit broking where the sale of goods or non-financial services is the main business, and broking is a secondary activity to help finance the purchase of those goods or services (such as certain motor dealerships and high-street retailers that introduce customers to a finance provider)",2,35,22.7,False,False,False,False,True,False,False,False,False,,,,,
14,cfpb_secured_unsecured_loans.txt,"This trust is based on their credit history what borrowers have done in the past that gives them a good credit rating. Because unsecured loans put lenders at higher risk, they may have a higher interest rate than secured loans.",2,40,9.9,False,False,False,True,True,False,False,False,False,,,,,
15,nationwide_savings_tandc.txt,"You may have to pay a charge, lose interest, or give notice before closing your account unless other terms and conditions say you dont. For example, you wont have to do this if we make a change to the terms and conditions thats to your disadvantage.",2,49,9.3,False,False,False,True,True,False,False,True,False,,,,,
16,hsbc_summary_box.txt,"If you are over your credit limit (even if we have allowed you to go over):  If a payment is returned unpaid: If we need to enforce repayment, including legal and tracing costs: Our reasonable costs.",3,36,16.8,False,False,False,False,True,False,False,True,False,,,,,
17,sec_interest_rate_risk.txt,"In fact, the U.S. government does not guarantee the market price or value of the bond if you sell the bond before it matures. This is because the market price or value of the bond can change over time based on several factors, including market interest rates.",2,47,5.8,False,False,False,False,True,False,False,False,False,,,,,
18,cfpb_credit_card_guide.txt,"If you did not have a consumer credit licence on 31 March 2014, or you did not notify us that you wished to receive interim permission, you can apply for authorisation at any point but you cannot carry on any credit-related regulated activities, for which you require authorisation, until we approve your application.",2,33,26.0,True,False,False,True,True,False,False,False,False,,,,,
19,nationwide_current_account_tandc.txt,"Our Current Account Interest Rates and Charges leaflet sets out the accounts upon which we pay interest and our charges. Our current interest rates and charges are available from any of our branches, on our website and in our Current Account Interest Rates and Charges leaflet.",2,47,12.6,False,False,False,False,True,False,False,True,False,,,,,
