"candidate_id","source_file","text","sentence_count","word_count","fkgl","contains_number","contains_currency","contains_percentage","contains_date_or_time","contains_financial_term","contains_forecast_or_guidance","contains_profit_or_margin_term","contains_cost_or_expense_term","contains_cash_or_balance_sheet_term","text_simplified_reference","annotator_id","confidence","notes","jargon_terms"
"F03302","regulatory_guidance\fca_consumer_credit_guide.txt","Smaller profit-seeking debt management firms and not-for-profit debt advice bodies (holding less than £1 million) need a director or senior manager to be responsible for overseeing the firm’s client assets.","1","30","18.1","True","True","False","False","True","False","True","False","False","","","","","debt management firms, debt advice bodies, client assets"
"F00664","financial_institution\bank_of_scotland_cc_tandc.txt","Change not to your disadvantage At least 7 days before the change No, unless you close your account and pay your balance off before the change takes effect – see Part B15.2 Change to your disadvantage (except At least 60 days before the change","2","44","8.4","True","False","False","False","False","False","False","False","False","","","","",""
"F03538","regulatory_guidance\sec_interest_rate_risk.txt","If two bonds offer different coupon rates while all of their other characteristics (e.g., maturity and credit quality) are the same, the bond with the lower coupon rate generally will experience a greater decrease in value as market interest rates rise.","1","41","12.3","False","False","False","False","True","False","False","False","False","","","","","bond, coupon rate, maturity, credit quality, market interest rates"
"F02865","regulatory_guidance\cfpb_secured_unsecured_loans.txt","If that trust does not result in repayment, the lender can report late or missing payments to the credit reporting companies, can engage in debt collection, and might sue the borrower.","1","31","14.8","False","False","False","False","True","False","False","False","False","","","","","lender, credit reporting companies, debt collection, borrower"
"F01480","financial_institution\nationwide_current_account_tandc.txt","Your account Credit Scoring 1. We may from time to time make searches within Nationwide, at credit reference agencies and fraud prevention agencies where we think it is reasonable to do so in order to make decisions regarding credit (including whether to make available or continue or extend existing credit).","2","50","14.7","True","False","False","False","True","False","False","False","False","","","","","credit scoring, credit reference agencies, fraud prevention agencies"
"F01312","financial_institution\hsbc_credit_card_tandc.txt","HSBC UK Bank plc is a company incorporated under the laws of England and Wales with company registration number 09928412.","1","20","12.9","True","False","False","False","False","False","False","False","False","","","","",""
"F00672","financial_institution\bank_of_scotland_cc_tandc.txt","We can issue an additional card that’s a different type to a card you already hold.","1","16","8.4","False","False","False","False","False","False","False","False","False","","","","","additional card"
"F00842","financial_institution\barclaycard_general_tandc.txt","When you receive your card, we may ask you to activate it before using it to make transactions.","1","18","7.8","False","False","False","False","False","False","False","False","False","","","","",""
"F00920","financial_institution\barclaycard_general_tandc.txt","We may also send or make available to you (electronically, in your statement or elsewhere)","1","15","10.7","False","False","False","False","False","False","False","False","False","","","","",""
"F01396","financial_institution\hsbc_personal_loan_tandc.txt","A textphone service is also available for customers with hearing and/or speech impairments.","1","13","12.2","False","False","False","False","False","False","False","False","False","","","","",""
"F03160","regulatory_guidance\fca_consumer_credit_guide.txt","Thematic Reviews We look across the market to analyse current events and investigate potential causes of poor outcomes for consumers and market participants.","1","23","16.5","False","False","False","False","False","False","False","False","False","","","","","Thematic Reviews, market participants"
"F02802","regulatory_guidance\cfpb_credit_card_guide.txt","You pay interest on any outstanding credit card loan balance.","1","10","7.2","False","False","False","False","True","False","False","False","False","","","","","outstanding balance"
"F03325","regulatory_guidance\fca_consumer_lending_strategy.txt","Since we last wrote to you in 2022, we have seen further change in the Consumer Lending market.","1","18","6.5","True","False","False","False","False","False","False","False","False","","","","","consumer lending"
"F01315","financial_institution\hsbc_credit_card_tandc.txt","Your information and how we look after it Make sure you read our Privacy Notice","1","15","8.4","False","False","False","False","False","False","False","False","False","","","","",""
"F00650","financial_institution\bank_of_scotland_cc_tandc.txt","Any other change to reflect good industry practice in banking and financial services that affects us, if it’s fair to pass the impact on to you.","1","26","12.3","False","False","False","False","False","False","False","False","False","","","","",""
"F00774","financial_institution\barclaycard_general_tandc.txt","This means that when an amount including how compound interest works is overdue for payment, we continue to charge interest at the rate that applies to that • Interest on default fees – this explains how interest is charged on default fees and particular balance.","1","45","18.7","False","False","False","False","True","False","False","True","False","","","","","compound interest, default fees"
"F01423","financial_institution\hsbc_summary_box.txt","Recurring transactions A recurring transaction (sometimes called a continuous payment authority) is a series of payments you agree to be collected from your card by a retailer or supplier (for example, insurance cover).","1","33","19.8","False","False","False","False","False","False","False","False","False","","","","","recurring transaction, continuous payment authority"
