candidate_id,source_file,text,sentence_count,word_count,fkgl,text_simplified_reference,annotator_id,confidence,notes,jargon_terms,fkgl_original,fkgl_simplified,word_count_original,word_count_simplified
1,hsbc_summary_box.txt,Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount with a minimum charge of £3 and the terms for balance transfers are provided separately in the offer sent to you.,3,39,7.9,"Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount, with a minimum charge of £3. The terms for balance transfers are provided separately in the offer sent to you.",Hanley,High,,"credit limit, balance transfer",7.9,6.7,39,38
2,cfpb_consumer_advisory.txt,"You can contact the credit reporting companies directly to dispute errors or file a complaint with the Bureau, and if you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.",2,43,20.4,"You can contact the credit reporting companies directly to dispute errors or file a complaint with the Bureau. If you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.",Hanley,High,,"credit reporting companies, credit report, credit score",20.4,12.0,43,42
3,hsbc_personal_loan_tandc.txt,"After you have made your first repayment, you can ask us to change your monthly repayment date; although we cannot change your next payment date, we can change all later payment dates, and in some cases we may require you to repay the loan immediately.",2,45,18.7,"After your first repayment, you can ask us to change your monthly repayment date. We cannot change your next payment date, but we can change all later payment dates. In some cases, we may require you to repay the loan immediately.",Hanley,High,,repayment date,18.7,6.7,45,41
4,fca_consumer_credit_guide.txt,"Threshold Conditions (COND): This sets out minimum conditions which all firms must meet if they wish to be authorised. Once authorised, firms must continue to meet these standards on an ongoing basis.",2,32,8.7,"Threshold Conditions (COND): This sets out the minimum conditions all firms must meet in order to be authorised. Once authorised, firms must continue to meet these standards on an ongoing basis.",Hanley,High,,"authorised, Threshold Conditions",8.7,9.1,32,31
5,fca_consumer_credit_guide.txt,"General Provisions (GEN): This sets out some of the standards that apply to all firms in terms of their interaction with us, including statutory disclosure statements and use of the FCA name or logo.",2,34,16.1,"General Provisions (GEN): This sets out the standards that apply to all firms in their dealings with us, including required disclosure statements and the rules on using the FCA name or logo.",Hanley,High,,"FCA, disclosure statements, General Provisions",16.1,15.3,34,32
6,nationwide_mortgage_conditions.txt,"If we appoint a receiver, youll also appoint them as your attorney. This will be a separate appointment and the receiver will be allowed to do all the things that we can do under our power of attorney.",2,38,9.5,"If we appoint a receiver (a person given authority to manage assets on our behalf), you will also appoint them as your attorney. This will be a separate appointment, and the receiver will be allowed to do everything that we can do under our power of attorney.",Hanley,High,,"receiver, attorney, power of attorney",9.5,12.9,38,47
7,cfpb_consumer_advisory.txt,Consider products that help you rebuild your credit. Products like secured credit cards andcredit builder loans are specifically designed to help you build a positive credit history.,3,27,11.5,Consider products that help you rebuild your credit. Products like secured credit cards and credit builder loans are specifically designed to help you build a positive credit history.,Hanley,High,,"secured credit cards, credit builder loans, credit history",11.5,10.9,27,28
8,fca_consumer_lending_strategy.txt,This letter sets out our updated view on the key risks of harm we believe Consumer Lending firms may pose to their consumers and the markets in which they operate. This will shape our focus and engagement with the Consumer Lending market over the next two years.,2,47,10.6,This letter sets out our updated view on the key risks of harm that Consumer Lending firms may pose to their customers and the markets in which they operate. This will shape our focus and engagement with the Consumer Lending market over the next two years.,Hanley,High,,Consumer Lending,10.6,10.3,47,46
9,sec_interest_rate_risk.txt,"A fundamental principle of bond investing is that market interest rates and bond prices generally move in opposite directions: when market interest rates rise, the prices of fixed-rate bonds fall, a phenomenon known as interest rate risk.",2,37,20.2,"A key principle of bond investing is that market interest rates and bond prices generally move in opposite directions. When market interest rates rise, the prices of fixed-rate bonds fall. This is known as interest rate risk.",Hanley,High,,"bond, market interest rates, interest rate risk, fixed-rate bonds",20.2,8.7,37,37
10,nationwide_current_account_tandc.txt,"These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.",2,38,9.5,"These checks are part of most account application processes. However, they will leave a record on your credit file that other lenders can see. This may affect your ability to get credit elsewhere for a short period.",Hanley,High,,"credit file, credit check",9.5,7.4,38,37
11,fca_consumer_lending_strategy.txt,"Our Priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow, have access to credit that meets their needs. Firms offering credit must do so responsibly.",2,36,10.8,Our priorities: We want to support a sustainable and effective Consumer Lending market in which consumers who can afford to borrow have access to credit that meets their needs. Firms offering credit must do so responsibly.,Hanley,High,,"Consumer Lending, credit",10.8,10.8,36,36
12,nationwide_current_account_tandc.txt,"When we share your information with credit reference agencies theyll use this to check your credit rating, along with the other details youve given us. These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.",2,63,10.6,"When we share your information with credit reference agencies, they will use it to check your credit rating, along with the other details you have given us. These checks are part of most account application processes. However, they will leave a record on your credit file that other lenders can see. This may affect your ability to get credit elsewhere for a short period.",Hanley,High,,"credit reference agencies, credit rating, credit file",10.6,8.7,63,64
13,fca_consumer_credit_guide.txt,"Credit broking where the sale of goods or non-financial services is the main business, and broking is a secondary activity to help finance the purchase of those goods or services (such as certain motor dealerships and high-street retailers that introduce customers to a finance provider)",2,45,22.7,"Credit broking where the main business is selling goods or non-financial services, and where arranging finance is a secondary activity to help customers pay for those goods or services — for example, certain car dealerships and high-street retailers that refer customers to a finance provider.",Hanley,High,,"credit broking, finance provider",22.7,23.2,45,45
14,cfpb_secured_unsecured_loans.txt,"This trust is based on their credit history what borrowers have done in the past that gives them a good credit rating. Because unsecured loans put lenders at higher risk, they may have a higher interest rate than secured loans.",2,40,9.9,"This trust is based on borrowers' credit history — what they have done in the past that gives them a good credit rating. Because unsecured loans put lenders at higher risk, they may carry a higher interest rate than secured loans.",Hanley,High,,"credit history, credit rating, unsecured loans, secured loans",9.9,10.2,40,41
