candidate_id,source_file,text,sentence_count,word_count,fkgl,contains_number,contains_currency,contains_percentage,contains_date_or_time,contains_financial_term,contains_forecast_or_guidance,contains_profit_or_margin_term,contains_cost_or_expense_term,contains_cash_or_balance_sheet_term
C00001,financial_institution\amazon_barclaycard_tandc.txt,The Amazon Barclaycard terms and conditions Credit Card Agreement regulated by 3.,1,12,12.7,True,False,False,False,True,False,False,False,False
C00002,financial_institution\amazon_barclaycard_tandc.txt,The Amazon Barclaycard terms and conditions Credit Card Agreement regulated by 3. Fees that we charge the Consumer Credit Act 1974.,2,21,8.7,True,False,False,False,True,False,False,True,False
C00003,financial_institution\amazon_barclaycard_tandc.txt,Fees that we charge the Consumer Credit Act 1974.,1,9,3.7,True,False,False,False,True,False,False,True,False
C00004,financial_institution\amazon_barclaycard_tandc.txt,Fees that we charge the Consumer Credit Act 1974. The fees that apply to your account are as follows:,2,19,3.6,True,False,False,False,True,False,False,True,False
C00005,financial_institution\amazon_barclaycard_tandc.txt,The fees that apply to your account are as follows:,1,10,3.7,False,False,False,False,False,False,False,False,False
C00006,financial_institution\amazon_barclaycard_tandc.txt,The fees that apply to your account are as follows: Account usage fees Amount 1.,2,15,6.8,True,False,False,False,False,False,False,False,False
C00007,financial_institution\amazon_barclaycard_tandc.txt,Account usage fees Amount 1.,1,5,5.2,True,False,False,False,False,False,False,False,False
C00008,financial_institution\amazon_barclaycard_tandc.txt,"Account usage fees Amount 1. Introduction This agreement is between us (Barclays Bank UK PLC, Barclaycard Centre, • Cash transactions (including cash withdrawals) 2.99% (minimum of £2.99) 1234 Pavilion Drive, Northampton, NN4 7SG) and you, the person who signed • Non-sterling purchases 2.99% this document.",2,45,8.3,True,True,True,False,False,False,False,False,True
C00009,financial_institution\amazon_barclaycard_tandc.txt,"Introduction This agreement is between us (Barclays Bank UK PLC, Barclaycard Centre, • Cash transactions (including cash withdrawals) 2.99% (minimum of £2.99) 1234 Pavilion Drive, Northampton, NN4 7SG) and you, the person who signed • Non-sterling purchases 2.99% this document.",1,40,8.9,True,True,True,False,False,False,False,False,True
C00010,financial_institution\amazon_barclaycard_tandc.txt,"Introduction This agreement is between us (Barclays Bank UK PLC, Barclaycard Centre, • Cash transactions (including cash withdrawals) 2.99% (minimum of £2.99) 1234 Pavilion Drive, Northampton, NN4 7SG) and you, the person who signed • Non-sterling purchases 2.99% this document. Barclaycard is a trading name of Barclays Bank UK PLC.",2,50,8.1,True,True,True,False,False,False,False,False,True
C00011,financial_institution\amazon_barclaycard_tandc.txt,Barclaycard is a trading name of Barclays Bank UK PLC.,1,10,4.8,False,False,False,False,False,False,False,False,False
C00012,financial_institution\amazon_barclaycard_tandc.txt,Barclaycard is a trading name of Barclays Bank UK PLC. • Balance transfer Depends on the offer 2.,2,18,5.1,True,False,False,False,False,False,False,False,False
C00013,financial_institution\amazon_barclaycard_tandc.txt,• Balance transfer Depends on the offer 2.,1,8,5.7,True,False,False,False,False,False,False,False,False
C00014,financial_institution\amazon_barclaycard_tandc.txt,• Balance transfer Depends on the offer 2. Your interest rates • Money transfer Depends on the offer We charge different interest rates on different balances.,2,26,8.8,True,False,False,False,True,False,False,True,False
C00015,financial_institution\amazon_barclaycard_tandc.txt,Your interest rates • Money transfer Depends on the offer We charge different interest rates on different balances.,1,18,11.2,False,False,False,False,True,False,False,True,False
C00016,financial_institution\amazon_barclaycard_tandc.txt,Your interest rates • Money transfer Depends on the offer We charge different interest rates on different balances. Your simple standard Account usage fees Amount and cash interest rates will move up and down in line with changes to the Bank of England Base Rate (or any rate which replaces it).,2,51,11.4,False,False,False,False,True,False,False,True,True
