jargon_term,plain_english_equivalent,definition,source
additional card,,,financial_institution
additional cardholders,,,financial_institution
APR,,,financial_institution
bond,,,regulatory_guidance
borrower,,,regulatory_guidance
client assets,,,regulatory_guidance
compound interest,,,financial_institution
consumer lending,,,regulatory_guidance
consumer outcomes,,,regulatory_guidance
continuous payment authority,,,financial_institution
coupon rate,,,regulatory_guidance
court claim,,,financial_institution
credit limit,,,financial_institution
credit quality,,,regulatory_guidance
credit reference agencies,,,financial_institution
credit reporting companies,,,regulatory_guidance
credit risk,,,regulatory_guidance
credit score,,,regulatory_guidance
credit scoring,,,financial_institution
debt advice bodies,,,regulatory_guidance
debt collection,,,regulatory_guidance
debt management firms,,,regulatory_guidance
default fees,,,financial_institution
due date,,,financial_institution
fraud prevention agencies,,,financial_institution
instalment plan,,,financial_institution
interest rate,,,regulatory_guidance
lender,,,regulatory_guidance
market interest rates,,,regulatory_guidance
market participants,,,regulatory_guidance
maturity,,,regulatory_guidance
monthly instalment,,,financial_institution
outstanding balance,,,regulatory_guidance
proceeds,,,regulatory_guidance
recurring transaction,,,financial_institution
regulatory requirements,,,financial_institution
secured loan,,,regulatory_guidance
Thematic Reviews,,,regulatory_guidance
transaction balance,,,financial_institution
unsecured loan,,,regulatory_guidance
