candidate_id,source_file,text,sentence_count,word_count,fkgl,contains_number,contains_currency,contains_percentage,contains_date_or_time,contains_financial_term,contains_forecast_or_guidance,contains_profit_or_margin_term,contains_cost_or_expense_term,contains_cash_or_balance_sheet_term
F00001,financial_institution\amazon_barclaycard_tandc.txt,The Amazon Barclaycard terms and conditions Credit Card Agreement regulated by 3.,1,12,12.7,True,False,False,False,True,False,False,False,False
F00002,financial_institution\amazon_barclaycard_tandc.txt,The fees that apply to your account are as follows: Account usage fees Amount 1.,2,15,6.8,True,False,False,False,False,False,False,False,False
F00003,financial_institution\amazon_barclaycard_tandc.txt,"Account usage fees Amount 1. Introduction This agreement is between us (Barclays Bank UK PLC, Barclaycard Centre, • Cash transactions (including cash withdrawals) 2.99% (minimum of £2.99) 1234 Pavilion Drive, Northampton, NN4 7SG) and you, the person who signed • Non-sterling purchases 2.99% this document.",2,45,8.3,True,True,True,False,False,False,False,False,True
F00004,financial_institution\amazon_barclaycard_tandc.txt,"Introduction This agreement is between us (Barclays Bank UK PLC, Barclaycard Centre, • Cash transactions (including cash withdrawals) 2.99% (minimum of £2.99) 1234 Pavilion Drive, Northampton, NN4 7SG) and you, the person who signed • Non-sterling purchases 2.99% this document.",1,40,8.9,True,True,True,False,False,False,False,False,True
F00005,financial_institution\amazon_barclaycard_tandc.txt,• Balance transfer Depends on the offer 2. Your interest rates • Money transfer Depends on the offer We charge different interest rates on different balances.,2,26,8.8,True,False,False,False,True,False,False,True,False
F00006,financial_institution\amazon_barclaycard_tandc.txt,Your interest rates • Money transfer Depends on the offer We charge different interest rates on different balances.,1,18,11.2,False,False,False,False,True,False,False,True,False
F00007,financial_institution\amazon_barclaycard_tandc.txt,Your simple standard Account usage fees Amount and cash interest rates will move up and down in line with changes to the Bank of England Base Rate (or any rate which replaces it).,1,33,13.0,False,False,False,False,True,False,False,False,True
F00008,financial_institution\amazon_barclaycard_tandc.txt,We call this rate the Late payment – you’ll be charged this fee when Base Rate. We’ll explain more about this in the ‘Changes due to the Bank of you don’t make one of your monthly payments England Base Rate’ section.,2,41,6.4,False,False,False,False,False,False,False,False,False
F00009,financial_institution\amazon_barclaycard_tandc.txt,We’ll explain more about this in the ‘Changes due to the Bank of you don’t make one of your monthly payments England Base Rate’ section.,1,25,9.3,False,False,False,False,False,False,False,False,False
F00010,financial_institution\amazon_barclaycard_tandc.txt,"When you use your card, the relevant amount is by your payment due date. We won’t charge this £12 added to a particular balance, depending on the type of transaction you use fee more than four times in a year the card for.",2,43,8.2,True,True,False,False,False,False,False,True,False
F00011,financial_institution\amazon_barclaycard_tandc.txt,"We won’t charge this £12 added to a particular balance, depending on the type of transaction you use fee more than four times in a year the card for.",1,29,11.2,True,True,False,False,False,False,False,True,False
F00012,financial_institution\amazon_barclaycard_tandc.txt,We may also make promotional offers on certain types of transactions There is no maintenance fee for this account.,1,19,10.5,False,False,False,False,False,False,False,False,False
F00013,financial_institution\amazon_barclaycard_tandc.txt,you make on your account. The balance linked to these transactions (your ‘promotional balance’) may have interest rates which are different to your simple standard and cash interest rates.,2,29,7.6,False,False,False,False,True,False,False,False,True
F00014,financial_institution\amazon_barclaycard_tandc.txt,The balance linked to these transactions (your ‘promotional balance’) may have interest rates which are different to your simple standard and cash interest rates.,1,24,12.0,False,False,False,False,True,False,False,False,True
F00015,financial_institution\amazon_barclaycard_tandc.txt,"Before we make a promotional offer We may also charge you an amount to cover any other reasonable costs or available, we’ll tell you the terms of the promotion.",1,29,14.8,False,False,False,False,False,False,False,True,False
F00016,financial_institution\amazon_barclaycard_tandc.txt,There’s more information losses we must pay if you break this agreement.,1,12,6.8,False,False,False,False,False,False,False,False,False
F00017,financial_institution\amazon_barclaycard_tandc.txt,below on the interest rate(s) associated with promotional balances.,1,9,14.1,False,False,False,False,True,False,False,False,False
F00018,financial_institution\amazon_barclaycard_tandc.txt,"Fees that third parties may charge We tell you about all the charges that we make, but using your card might Interest rate mean that you have to pay other amounts to someone else.",1,34,12.2,False,False,False,False,True,False,False,True,False
F00019,financial_institution\amazon_barclaycard_tandc.txt,"For example, some organisations may charge an extra fee for credit card payments.",1,13,9.4,False,False,False,False,True,False,False,True,False
F00020,financial_institution\amazon_barclaycard_tandc.txt,"Standard balance – this is made up of the following, unless promotional terms apply 4.",1,15,9.3,True,False,False,False,False,False,False,False,False
F00021,financial_institution\amazon_barclaycard_tandc.txt,Monthly payment instead: We’ll send you a monthly statement to tell you what the minimum amount • Purchases (Your standard rate you need to pay is and when the payment is due.,1,32,12.9,False,False,False,False,False,False,False,False,False
F00022,financial_institution\amazon_barclaycard_tandc.txt,• Balance transfers is shown on your You must pay at least your minimum payment in sterling by the due date • Money transfers monthly statement) shown on your statement every month.,1,32,13.0,False,False,False,False,False,False,False,False,False
F00023,financial_institution\amazon_barclaycard_tandc.txt,"Remember - if you only make your minimum payment each month, it’ll take longer and cost more to pay off your • Interest and account usage fees on the above balance.",1,31,12.4,False,False,False,False,False,False,False,True,False
F00024,financial_institution\amazon_barclaycard_tandc.txt,• Default fees* Your payment due date will be at least 20 days after we produce your statement.,1,18,6.3,True,False,False,False,True,False,False,False,False
F00025,financial_institution\amazon_barclaycard_tandc.txt,If you do this Cash balance – this is made up of the following: it’ll also change your statement date.,1,20,6.7,False,False,False,False,False,False,False,False,True
F00026,financial_institution\amazon_barclaycard_tandc.txt,"You can’t change your payment date if • Cash withdrawals (this includes any fees other you’ve changed it twice in the last 12 months, or you’ve already changed it people or organisations may charge for the during the previous statement period. withdrawal)",1,42,18.8,True,False,False,False,False,False,False,True,True
F00027,financial_institution\amazon_barclaycard_tandc.txt,"Your minimum payment will be the highest of the following: • Buying currency or traveller’s cheques (Your standard rate • £5 (or the total outstanding balance if it’s less than £5) • Cash-like transactions, including: is shown on your - Sending money orders or wire transfers monthly statement) • (A percentage*) of your balance •",1,55,22.8,True,True,True,False,False,False,False,False,True
F00028,financial_institution\amazon_barclaycard_tandc.txt,"An amount equal to 100% of the interest, plus 100% of any default fees, - Buying digital currencies, including that have been added to your account since your last statement, plus (a cryptocurrency such as Bitcoin percentage*) of the rest of your balance • Interest and account usage fees on all of the above *",1,55,22.4,True,False,True,False,True,False,False,False,False
F00029,financial_institution\amazon_barclaycard_tandc.txt,"Promotional balance – this is made up of the But, if you’ve agreed to set up a paydown plan (please see the ‘Paydown plans’ following: section, below), your minimum payment will be your paydown plan payment each month instead.",2,39,16.6,False,False,False,False,False,True,False,False,False
F00030,financial_institution\amazon_barclaycard_tandc.txt,"But, if you’ve agreed to set up a paydown plan (please see the ‘Paydown plans’ following: section, below), your minimum payment will be your paydown plan payment each month instead.",1,30,13.4,False,False,False,False,False,True,False,False,False
F00031,financial_institution\amazon_barclaycard_tandc.txt,"This will be the same amount each month (except for • Transactions with promotional terms, which your final payment, which may be smaller) until your paydown plan ends.",1,28,12.0,False,False,False,False,False,True,False,False,False
F00032,financial_institution\amazon_barclaycard_tandc.txt,"we will tell you about before you make the transaction such as: If you’re on a reduced-repayment plan or arrangement, during the plan or Depends on the offer arrangement your minimum payment will be the amount we’ve told you.",1,39,16.9,False,False,False,False,False,True,False,False,False
F00033,financial_institution\amazon_barclaycard_tandc.txt,- Purchases Any refunds you receive on your account won’t count towards your minimum - Balance transfers payment amount.,1,19,11.9,False,False,False,False,False,False,False,False,False
F00034,financial_institution\amazon_barclaycard_tandc.txt,"You must still pay the full minimum payment unless the - Money transfers refund reduces your balance to an amount which is less than your minimum • Interest and fees on the above promotions payment, in which case you’ll only have to pay the remaining balance.",1,46,19.3,False,False,False,False,False,False,False,False,False
F00035,financial_institution\amazon_barclaycard_tandc.txt,Legal information – example of the total amount you’d have to pay and the annual percentage rate (APR) We’ll tell you the total amount you would have to pay and the APR when you first enter into the agreement with us.,1,41,17.1,False,False,True,False,False,False,False,False,False
F00036,financial_institution\amazon_barclaycard_tandc.txt,This legal information is given based on assumptions we make at that time.,1,13,7.6,False,False,False,False,False,False,False,False,False
F00037,financial_institution\amazon_barclaycard_tandc.txt,5. Using your account You can choose whether or not you want to allow us to increase the credit Using the app and contacting us limit on your account.,2,29,12.0,True,False,False,False,True,False,False,False,False
F00038,financial_institution\amazon_barclaycard_tandc.txt,Using your account You can choose whether or not you want to allow us to increase the credit Using the app and contacting us limit on your account.,1,28,11.8,False,False,False,False,True,False,False,False,False
F00039,financial_institution\amazon_barclaycard_tandc.txt,"If we increase your credit limit, we’ll always tell you first and give you 30 days’ notice unless you’ve asked for the increase yourself.",1,24,10.0,True,False,False,False,True,False,False,False,False
F00040,financial_institution\amazon_barclaycard_tandc.txt,Your account is designed to be used digitally.,1,8,6.7,False,False,False,False,False,False,False,False,False
F00041,financial_institution\amazon_barclaycard_tandc.txt,"This means that you’ll need to When you receive this notice, you can tell us not to increase your credit limit.",1,21,7.2,False,False,False,False,True,False,False,False,False
F00042,financial_institution\amazon_barclaycard_tandc.txt,use the app to manage your account and benefit from account features.,1,12,6.8,False,False,False,False,False,False,False,False,False
F00043,financial_institution\amazon_barclaycard_tandc.txt,"It’s If you prefer, you can tell us that we must always check with you before also the main way we’ll contact you and give you important messages and increasing your credit limit.",1,33,13.7,False,False,False,False,True,False,False,False,False
F00044,financial_institution\amazon_barclaycard_tandc.txt,"information (along with text messages and emails). To make sure that you can manage your account and we can keep in touch with you, it’s important that You can also tell us not to increase your credit limit at any time in the future you keep the app up to date.",2,51,10.1,False,False,False,False,True,False,False,False,False
F00045,financial_institution\amazon_barclaycard_tandc.txt,"To make sure that you can manage your account and we can keep in touch with you, it’s important that You can also tell us not to increase your credit limit at any time in the future you keep the app up to date.",1,44,16.1,False,False,False,False,True,False,False,False,False
F00046,financial_institution\amazon_barclaycard_tandc.txt,We’ll only ever communicate with you in English.,1,8,8.2,False,False,False,False,False,False,False,False,False
F00047,financial_institution\amazon_barclaycard_tandc.txt,or tell us at any time if you want to reduce your credit limit. We won’t increase your credit limit if we think you can’t afford to make the repayments.,2,30,6.0,False,False,False,False,True,False,False,False,False
F00048,financial_institution\amazon_barclaycard_tandc.txt,We won’t increase your credit limit if we think you can’t afford to make the repayments.,1,16,6.9,False,False,False,False,True,False,False,False,False
F00049,financial_institution\amazon_barclaycard_tandc.txt,"If you ever need to get in touch with us for any reason, the best way is to You mustn’t go over your credit limit, but if you do your credit records may be contact us using the chat service in the app.",1,43,16.3,False,False,False,False,True,False,False,False,False
F00050,financial_institution\amazon_barclaycard_tandc.txt,affected – this means it might be harder or more expensive for you to borrow in the future.,1,18,7.7,False,False,False,False,False,False,False,False,False
F00051,financial_institution\amazon_barclaycard_tandc.txt,"If you can’t use the app, you can call us on 0800 151 0157. 8. Your interest charges Changing your details When we charge interest Please keep us up to date with the name, mobile number, email address, If you pay your balance (excluding any promotional balance or late payment residential address, landline number, nationality and date of birth for you fees) in full by your payment due date, the following will apply that month: and your additional cardholders (who must be based in the British Isles).",2,87,18.3,True,False,False,False,False,False,False,True,False
F00052,financial_institution\amazon_barclaycard_tandc.txt,"Your interest charges Changing your details When we charge interest Please keep us up to date with the name, mobile number, email address, If you pay your balance (excluding any promotional balance or late payment residential address, landline number, nationality and date of birth for you fees) in full by your payment due date, the following will apply that month: and your additional cardholders (who must be based in the British Isles).",1,72,30.5,False,False,False,False,False,False,False,True,False
F00053,financial_institution\amazon_barclaycard_tandc.txt,We’ll always communicate with you using the app and the most recent contact •,1,14,7.6,False,False,False,False,False,False,False,False,False
F00054,financial_institution\amazon_barclaycard_tandc.txt,We won’t charge interest on any purchases or cash balance details you’ve given us.,1,14,8.4,False,False,False,False,False,False,False,True,True
F00055,financial_institution\amazon_barclaycard_tandc.txt,We’re not responsible if you don’t get information •,1,9,8.2,False,False,False,False,False,False,False,False,False
F00056,financial_institution\amazon_barclaycard_tandc.txt,We’ll only charge interest on your non 0% promotional balance because you haven’t told us about a change to your contact details.,1,22,10.2,True,False,True,False,False,False,False,True,False
F00057,financial_institution\amazon_barclaycard_tandc.txt,"If you or any additional cardholders are living overseas, please let us know",1,13,9.4,False,False,False,False,False,False,False,False,False
F00058,financial_institution\amazon_barclaycard_tandc.txt,so How we charge interest that we can contact you. We may close your account if you’re living overseas We work out how much interest we charge each month using a simple or if you ask us to communicate with you using a Post Office box address.,2,47,9.1,False,False,False,False,False,False,False,True,False
F00059,financial_institution\amazon_barclaycard_tandc.txt,We may close your account if you’re living overseas We work out how much interest we charge each month using a simple or if you ask us to communicate with you using a Post Office box address.,1,37,14.8,False,False,False,False,False,False,False,True,False
F00060,financial_institution\amazon_barclaycard_tandc.txt,interest rate. Your interest is calculated on a daily basis and added to your We’ll give you notice in line with these terms and conditions if we do this.,2,29,12.0,False,False,False,False,True,False,False,False,False
F00061,financial_institution\amazon_barclaycard_tandc.txt,Your interest is calculated on a daily basis and added to your We’ll give you notice in line with these terms and conditions if we do this.,1,27,11.1,False,False,False,False,False,False,False,False,False
F00062,financial_institution\amazon_barclaycard_tandc.txt,account each month on the date we produce your monthly statement. We’ll charge interest on interest if you don’t repay your total outstanding balance in 6.,2,26,6.3,True,False,False,False,False,False,False,True,False
F00063,financial_institution\amazon_barclaycard_tandc.txt,We’ll charge interest on interest if you don’t repay your total outstanding balance in 6.,1,15,7.6,True,False,False,False,False,False,False,True,False
F00064,financial_institution\amazon_barclaycard_tandc.txt,"Your card full each month (this is known as compound interest). With your account, we’ll give you a digital card which you can access in the If interest is due, we’ll charge it from the date each amount is added to the app linked to your account.",2,47,7.9,False,False,False,False,False,False,False,True,False
F00065,financial_institution\amazon_barclaycard_tandc.txt,"With your account, we’ll give you a digital card which you can access in the If interest is due, we’ll charge it from the date each amount is added to the app linked to your account.",1,36,12.9,False,False,False,False,False,False,False,True,False
F00066,financial_institution\amazon_barclaycard_tandc.txt,"You’ll be able to use the digital card in some account. Interest continues to be charged on all outstanding balances until digital wallets, and the digital card details for online transactions.",2,31,10.2,False,False,False,False,False,False,False,False,False
F00067,financial_institution\amazon_barclaycard_tandc.txt,"Interest continues to be charged on all outstanding balances until digital wallets, and the digital card details for online transactions.",1,20,14.0,False,False,False,False,False,False,False,False,False
F00068,financial_institution\amazon_barclaycard_tandc.txt,"All physical cards are our property. If we give you means that when an amount is overdue for payment, we continue to charge a physical card, we may ask you to activate it before you use it to make interest at the rate that applies to that particular balance. transactions.",2,50,11.6,False,False,False,False,False,False,False,True,False
F00069,financial_institution\amazon_barclaycard_tandc.txt,"If we give you means that when an amount is overdue for payment, we continue to charge a physical card, we may ask you to activate it before you use it to make interest at the rate that applies to that particular balance. transactions.",1,44,18.5,False,False,False,False,False,False,False,True,False
F00070,financial_institution\amazon_barclaycard_tandc.txt,"Default fees are fees that we charge if you don’t make a monthly payment By the word ‘card’, we mean any credit card or any alternative to a credit on time.",1,31,12.1,False,False,False,False,True,False,False,True,False
F00071,financial_institution\amazon_barclaycard_tandc.txt,"If we charge a default fee, we’ll let you know. We don’t charge any card that we give you to make transactions under this agreement including interest on default fees.",2,30,6.4,False,False,False,False,True,False,False,True,False
F00072,financial_institution\amazon_barclaycard_tandc.txt,We don’t charge any card that we give you to make transactions under this agreement including interest on default fees.,1,20,9.9,False,False,False,False,True,False,False,True,False
F00073,financial_institution\amazon_barclaycard_tandc.txt,a digital card and any physical card. We tell you more about your card in the ‘Using your account’ section of this agreement.,2,23,6.3,False,False,False,False,False,False,False,False,False
F00074,financial_institution\amazon_barclaycard_tandc.txt,We tell you more about your card in the ‘Using your account’ section of this agreement.,1,16,6.9,False,False,False,False,False,False,False,False,False
F00075,financial_institution\amazon_barclaycard_tandc.txt,"If we give you a physical card and you need a replacement, we may charge you a fee for the new card – for Understanding the interest and fees on your account example, if the card is lost or damaged.",1,40,15.1,False,False,False,False,False,False,False,True,False
F00076,financial_institution\amazon_barclaycard_tandc.txt,• Please make sure you consider the interest and fees that will be Giving you another card added to your account at the time of producing your statement We may give you another card as a replacement or extra card at any time – • You should make sure you keep enough available balance to not go this includes a new digital card as well as a new physical card if you have one.,2,74,28.4,False,False,False,False,False,False,False,False,False
