candidate_id,source_file,text,sentence_count,word_count,fkgl,text_simplified_reference,annotator_id,confidence,notes,jargon_terms,fkgl_original,fkgl_simplified,word_count_original,word_count_simplified,output_generic,output_financial,output_financial_t5xl,output_llm
1,hsbc_summary_box.txt,Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount with a minimum charge of £3 and the terms for balance transfers are provided separately in the offer sent to you.,3,39,7.9,"Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount, with a minimum charge of £3. The terms for balance transfers are provided separately in the offer sent to you.",Hanley,High,,"credit limit, balance transfer",7.9,6.7,39,38,Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount with a minimum charge of £3 and the terms for balance transfers are provided separately in the offer sent to you.,Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount with a minimum charge of £3 and the terms for balance transfers are provided separately in the offer sent to you.,Maximum credit limit: Subject to status. Cash or cash-like transactions incur a fee of 2.99% of the amount with a minimum charge of £3 and the terms for balance transfers are provided separately in the offer sent to you.,"Your credit limit depends on your status. If you get cash, you pay a 2.99% fee (at least £3). We will send you the rules for moving a balance in a separate offer."
2,cfpb_consumer_advisory.txt,"You can contact the credit reporting companies directly to dispute errors or file a complaint with the Bureau, and if you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.",2,43,20.4,"You can contact the credit reporting companies directly to dispute errors or file a complaint with the Bureau. If you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.",Hanley,High,,"credit reporting companies, credit report, credit score",20.4,12.0,43,42,"You can contact the credit reporting companies directly to dispute errors or file a complaint with the Bureau, and if you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.","You can contact the credit reporting companies directly to dispute errors or file a complaint with the Bureau, and if you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.","You can contact credit reporting companies directly to dispute errors or file a complaint with the Bureau, and if you have further questions about credit reports or scores, you can visit Ask CFPB, an online database of common financial questions and answers.","You can contact credit companies to fix mistakes or complain to the Bureau. For more questions, visit Ask CFPB online."
3,hsbc_personal_loan_tandc.txt,"After you have made your first repayment, you can ask us to change your monthly repayment date; although we cannot change your next payment date, we can change all later payment dates, and in some cases we may require you to repay the loan immediately.",2,45,18.7,"After your first repayment, you can ask us to change your monthly repayment date. We cannot change your next payment date, but we can change all later payment dates. In some cases, we may require you to repay the loan immediately.",Hanley,High,,repayment date,18.7,6.7,45,41,"After you have made your first repayment, you can ask us to change your monthly repayment date; although we cannot change your next payment date, we can change all later payment dates, and in some cases we may require you to repay the loan immediately.","After you have made your first repayment, you can ask us to change your monthly repayment date; although we cannot change your next payment date, we can change all later payment dates, and in some cases we may require you to repay the loan immediately.","After you have made your first repayment, you can ask us to change your monthly repayment date; although we cannot change your next payment date, we can change all later payment dates, and in some cases we may require you to repay the loan immediately.","After your first payment, you can ask us to change your payment date. We can change future dates, but not the next one. Sometimes, we may ask you to pay the loan back right away."
4,fca_consumer_credit_guide.txt,"Threshold Conditions (COND): This sets out minimum conditions which all firms must meet if they wish to be authorised. Once authorised, firms must continue to meet these standards on an ongoing basis.",2,32,8.7,"Threshold Conditions (COND): This sets out the minimum conditions all firms must meet in order to be authorised. Once authorised, firms must continue to meet these standards on an ongoing basis.",Hanley,High,,"authorised, Threshold Conditions",8.7,9.1,32,31,Threshold Conditions (COND): This sets out minimum conditions which all firms must meet if they wish to be authorised.,"Threshold Conditions: This sets out minimum conditions which all firms must meet if they wish to be authorised. Once authorised, firms must continue to meet these standards on an ongoing basis.","This sets out minimum conditions which all firms must meet if they wish to be authorised. Once authorised, firms must continue to meet these standards on an ongoing basis.",Basic Rules: Firms must meet these rules to get approval. They must keep following them after approval.
5,fca_consumer_credit_guide.txt,"General Provisions (GEN): This sets out some of the standards that apply to all firms in terms of their interaction with us, including statutory disclosure statements and use of the FCA name or logo.",2,34,16.1,"General Provisions (GEN): This sets out the standards that apply to all firms in their dealings with us, including required disclosure statements and the rules on using the FCA name or logo.",Hanley,High,,"FCA, disclosure statements, General Provisions",16.1,15.3,34,32,"General Provisions (GEN): This sets out some of the standards that apply to all firms in terms of their interaction with us, including statutory disclosure statements and use of the FCA name or logo.","General Provisions (GEN): This sets out some of the standards that apply to all firms in terms of their interaction with us, including statutory disclosure statements and use of the FCA name or logo.","This sets out some of the standards that apply to all firms in terms of their interaction with us, including statutory disclosure statements and use of the FCA name or logo.",General Rules: These rules explain how firms must act with us. This includes official statements and using our logo.
6,nationwide_mortgage_conditions.txt,"If we appoint a receiver, youll also appoint them as your attorney. This will be a separate appointment and the receiver will be allowed to do all the things that we can do under our power of attorney.",2,38,9.5,"If we appoint a receiver (a person given authority to manage assets on our behalf), you will also appoint them as your attorney. This will be a separate appointment, and the receiver will be allowed to do everything that we can do under our power of attorney.",Hanley,High,,"receiver, attorney, power of attorney",9.5,12.9,38,47,"If we appoint a receiver, youll also appoint them as your attorney. If we appoint a receiver, youll also appoint them as your attorney.","If we appoint a receiver, youll also appoint them as your attorney. This will be a separate appointment and the receiver will be allowed to do all the things that we can do under our power of attorney.","If we appoint a receiver, youll also appoint them as your attorney. This will be a separate appointment and the receiver will be allowed to do all the things that we can do under our power of attorney.","If we pick a receiver, you must also make them your agent. They will have the same powers we do."
7,cfpb_consumer_advisory.txt,Consider products that help you rebuild your credit. Products like secured credit cards andcredit builder loans are specifically designed to help you build a positive credit history.,3,27,11.5,Consider products that help you rebuild your credit. Products like secured credit cards and credit builder loans are specifically designed to help you build a positive credit history.,Hanley,High,,"secured credit cards, credit builder loans, credit history",11.5,10.9,27,28,Credit builder loans are designed to help you build a positive credit history.,Consider products that help you rebuild your credit. Products like secured credit cards andcredit builder loans are specifically designed to help you build a positive credit history.,Consider products that help you rebuild your credit. Products like secured credit cards andcredit builder loans are specifically designed to help you build a positive credit history.,Look for products that help you rebuild credit. Secured credit cards and credit builder loans can help you build a good credit history.
8,fca_consumer_lending_strategy.txt,This letter sets out our updated view on the key risks of harm we believe Consumer Lending firms may pose to their consumers and the markets in which they operate. This will shape our focus and engagement with the Consumer Lending market over the next two years.,2,47,10.6,This letter sets out our updated view on the key risks of harm that Consumer Lending firms may pose to their customers and the markets in which they operate. This will shape our focus and engagement with the Consumer Lending market over the next two years.,Hanley,High,,Consumer Lending,10.6,10.3,47,46,This letter sets out our updated view on the key risks of harm we believe Consumer Lending firms may pose to their consumers and the markets in which they operate.,This letter sets out our updated view on the key risks of harm we believe Consumer Lending firms may pose to their consumers and the markets in which they operate. This will shape our focus and engagement with the Consumer Lending market over the next two years.,This letter sets out our view on the key risks of harm we believe Consumer Lending firms may pose to their consumers and the markets in which they operate. This will shape our focus and engagement with the Consumer Lending market over the next two years.,This letter explains the risks that lending firms might cause for people and markets. This helps us plan our work for the next two years.
9,sec_interest_rate_risk.txt,"A fundamental principle of bond investing is that market interest rates and bond prices generally move in opposite directions: when market interest rates rise, the prices of fixed-rate bonds fall, a phenomenon known as interest rate risk.",2,37,20.2,"A key principle of bond investing is that market interest rates and bond prices generally move in opposite directions. When market interest rates rise, the prices of fixed-rate bonds fall. This is known as interest rate risk.",Hanley,High,,"bond, market interest rates, interest rate risk, fixed-rate bonds",20.2,8.7,37,37,"A fundamental principle of bond investing is that market interest rates and bond prices generally move in opposite directions: when market interest rates rise, the prices of fixed-rate bonds fall.","A fundamental principle of bond investing is that market interest rates and bond prices generally move in opposite directions: when market interest rates rise, the prices of fixed-rate bonds fall, a phenomenon known as interest rate risk.","A fundamental principle of bond investing is that market interest rates and bond prices generally move in opposite directions: when market interest rates rise, the prices of fixed-rate bonds fall.","Market interest rates and bond prices move in opposite directions. When interest rates go up, fixed-rate bond prices go down. We call this interest rate risk."
10,nationwide_current_account_tandc.txt,"These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.",2,38,9.5,"These checks are part of most account application processes. However, they will leave a record on your credit file that other lenders can see. This may affect your ability to get credit elsewhere for a short period.",Hanley,High,,"credit file, credit check",9.5,7.4,38,37,"These checks are part of most account application processes  however, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.","These checks are part of most account application processes. However, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.","These checks are part of most account application processes. However, they will leave a record on your credit file that other lenders can see. This might affect your ability to get credit elsewhere for a short while.",Lenders run checks when you apply for most accounts. Other lenders will see these checks on your credit file. This might make it harder to get credit for a short time.
